Model,Fold,Feature,Importance
RF_Gene,2,11729059_x_at,0.020004454685099846
RF_Gene,2,11730732_at,0.050017739771652824
RF_Gene,2,11730733_x_at,0.008133640552995392
RF_Gene,2,11733087_a_at,0.0064133899916508615
RF_Gene,2,11733088_at,0.03374222222222222
RF_Gene,2,11733889_a_at,0.018144484235800135
RF_Gene,2,11736612_x_at,0.09426697388632871
RF_Gene,2,11737486_s_at,0.006413526570048309
RF_Gene,2,11739486_at,0.02930190494299891
RF_Gene,2,11739487_s_at,0.10052567759003242
RF_Gene,2,11742988_s_at,0.027314430419199003
RF_Gene,2,11745779_a_at,0.01012970730321114
RF_Gene,2,11749746_s_at,0.03784400487825118
RF_Gene,2,11754183_s_at,0.04002384823848239
RF_Gene,2,11755612_s_at,0.07454986057988616
RF_Gene,2,11758454_s_at,0.05559086769474816
RF_Gene,2,11758776_s_at,0.027707776688097048
RF_Gene,2,11763329_a_at,0.029733469911730783
RF_Gene,3,11717186_a_at,0.00466989692557715
RF_Gene,3,11719368_s_at,0.0447289905470481
RF_Gene,3,11721062_s_at,0.09478256036188867
RF_Gene,3,11722150_a_at,0.08688455279414206
RF_Gene,3,11722151_a_at,0.03451597859048823
RF_Gene,3,11722152_s_at,0.034089567650921644
RF_Gene,3,11723945_s_at,0.09550738913626959
RF_Gene,3,11726871_s_at,0.00039122778143515455
RF_Gene,3,11728388_at,0.009866552845804708
RF_Gene,3,11729059_x_at,0.035475786492824846
RF_Gene,3,11730732_at,0.12030940727555177
RF_Gene,3,11730733_x_at,0.019314482734751278
RF_Gene,3,11733087_a_at,0.020032976132027366
RF_Gene,3,11733088_at,0.03945788110641052
RF_Gene,3,11735990_x_at,0.007714987714987716
RF_Gene,3,11736610_a_at,0.005652636504327388
RF_Gene,3,11736611_s_at,0.006022783765941661
RF_Gene,3,11736612_x_at,0.05273795518112894
RF_Gene,3,11737486_s_at,0.030685120783012155
RF_Gene,3,11739936_a_at,0.029633065504509167
RF_Gene,3,11744890_a_at,0.015733582391708075
RF_Gene,3,11754183_s_at,0.044322858418735775
RF_Gene,3,11755612_s_at,0.13457191732998183
RF_Gene,3,11758454_s_at,0.027170462477059648
RF_Gene,3,11758776_s_at,0.00572737955346651
RF_Gene,4,11716506_s_at,0.13213348416289591
RF_Gene,4,11717186_a_at,0.011988704679835115
RF_Gene,4,11718864_s_at,0.023726080857239897
RF_Gene,4,11719368_s_at,0.02218425237983672
RF_Gene,4,11721438_s_at,0.01228043227499464
RF_Gene,4,11722150_a_at,0.047564726650861096
RF_Gene,4,11722151_a_at,0.025720191275111184
RF_Gene,4,11723945_s_at,0.06693517271969887
RF_Gene,4,11724283_a_at,0.11253851937255414
